Production Environment,Activity,,,,
,Service,Description,Quantity,Unit Cost,Monthly Cost
,EC2 Instances,,,,
,- Web Servers (t3.medium),In Public Subnets,2,$0.0416/hour,$60.00 
,- Application Servers (t3.large),In Private Subnets,4,$0.0832/hour,$240.00 
,- Database (db.r5.large),Primary DB in Private Subnet,1,$0.334/hour,$240.00 
,- Database (db.r5.large),Read Replica in AZ2,1,$0.334/hour,$240.00 
,S3 Storage,Data Storage,50 TB,$0.023/GB,"$1,150.00 "
,NAT Gateway,Data Processing,2,$0.045/hour,$65.00 
,CloudFront Distribution,Content Delivery,1,$0.085/GB (data transfer),$85.00 
,Load Balancer (ALB),Web Servers,1,$0.022/hour,$16.00 
,Load Balancer (ALB),Application Servers,1,$0.022/hour,$16.00 
,Auto Scaling,Web Servers (ASG),1,$0.10/instance/hour,$60.00 
,Auto Scaling,Application Servers (ASG),1,$0.10/instance/hour,$240.00 
,Data Transfer,Data Transfer In/Out,Variable,$0.09/GB,"$2,000.00 "
,Total Monthly Cost,,,,"$4,412.00 "
Production Environment,StandBy,,,,
,Service,Description,Quantity,Unit Cost,Monthly Cost
,EC2 Instances,,,,
,- Web Servers (t3.medium),In Public Subnet,1,$0.0416/hour,$30.00 
,- Application Servers (t3.large),In Private Subnet,2,$0.0832/hour,$120.00 
,- Database (db.r5.large),Primary DB in Private Subnet,1,$0.334/hour,$240.00 
,S3 Storage,Backup Storage,50 TB,$0.023/GB,"$1,150.00 "
,NAT Gateway,Data Processing,1,$0.045/hour,$32.00 
,CloudFront Distribution,Content Delivery,1,$0.085/GB (data transfer),$42.50 
,Load Balancer (ALB),Web Servers,1,$0.022/hour,$16.00 
,Load Balancer (ALB),Application Servers,1,$0.022/hour,$16.00 
,Auto Scaling,Web Servers (ASG),1,$0.10/instance/hour,$30.00 
,Auto Scaling,Application Servers (ASG),1,$0.10/instance/hour,$120.00 
,Data Transfer,Data Transfer In/Out,Variable,$0.09/GB,$750.00 
,Total Monthly Cost,,,,"$2,546.50 "
UAT,,,,,
,Service,Description,Quantity,Unit Cost,Monthly Cost
,EC2 Instances,,,,
,- Web Servers (t3.medium),In Public Subnet,1,$0.0416/hour,$30.00 
,- Application Servers (t3.medium),In Private Subnet,2,$0.0416/hour,$60.00 
,- Database (db.r5.large),Primary DB in Private Subnet,1,$0.334/hour,$240.00 
,S3 Storage,UAT Storage,10 TB,$0.023/GB,$230.00 
,NAT Gateway,Data Processing,1,$0.045/hour,$32.00 
,CloudFront Distribution,Content Delivery,1,$0.085/GB (data transfer),$17.00 
,Load Balancer (ALB),Web Servers,1,$0.022/hour,$16.00 
,Auto Scaling,Web Servers (ASG),1,$0.10/instance/hour,$30.00 
,Data Transfer,Data Transfer In/Out,Variable,$0.09/GB,$200.00 
,Total Monthly Cost,,,,$855.00 
SIT,,,,,
,Service,Description,Quantity,Unit Cost,Monthly Cost
,EC2 Instances,,,,
,- Web Servers (t3.micro),In Public Subnet,1,$0.0104/hour,$7.00 
,- Application Servers (t3.micro),In Private Subnet,1,$0.0104/hour,$15.00 
,- Database (db.r5.large),Primary DB in Private Subnet,1,$0.334/hour,$240.00 
,S3 Storage,SIT Storage,10 TB,$0.023/GB,$230.00 
,NAT Gateway,Data Processing,1,$0.045/hour,$32.00 
,CloudFront Distribution,Content Delivery,1,$0.085/GB (data transfer),$8.50 
,Load Balancer (ALB),Web Servers,1,$0.022/hour,$16.00 
,Auto Scaling,Web Servers (ASG),1,$0.10/instance/hour,$7.00 
,Data Transfer,Data Transfer In/Out,Variable,$0.09/GB,$200.00 
,Total Monthly Cost,,,,$755.50 
,,,,,
extra budget,,,,,10%
Total Environment Cost,,,,,"$8,569.00 "
Total fee,,,,,"$9,425.90 "
